|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |bv_color|
|  -33.95|  -27.18|     13244| 4.76|042.61890350|-75.06688108|   1.337|
|    4.48|   20.06|     90133| 5.47|275.90182621|-75.04432557|   0.043|
|   -5.57|  -20.32|     73394| 6.20|224.98238440|-75.03261964|  -0.038|
|   58.55|   12.48|    110712| 6.12|336.46260706|-75.01571925|   0.599|
|   27.60|   61.88|     22871| 5.47|073.79641541|-74.93700232|   1.518|
|  133.21|  -34.59|      3781| 5.09|012.14632729|-74.92335356|   1.345|
|  -16.33|   31.85|     45581| 5.28|139.35504716|-74.89439024|   0.021|
| -108.28| -132.08|     65468| 5.04|201.28066834|-74.88749735|   1.110|
| -242.32|  180.31|     69090| 6.02|212.11544595|-74.85072342|   0.581|
|  121.84| -212.82|     29271| 5.08|092.55918047|-74.75252790|   0.714|
|  -29.08|   35.19|     45585| 5.86|139.36514198|-74.73467629|  -0.024|
|  -23.89|  -52.40|     84510| 6.24|259.14874621|-74.53288068|  -0.004|
|  -18.48|    0.08|     52150| 6.08|159.81640749|-74.49338395|   1.683|
|   -3.63|   20.78|     36914| 6.33|113.84025431|-74.27500789|   0.016|
|   51.07|  115.27|     17678| 3.26|056.80929799|-74.23924251|   1.590|
|  -14.15|   -4.20|     58810| 6.44|180.93557093|-74.21408634|   1.198|
|  -16.12|  -27.63|     50954| 3.99|156.09891874|-74.03154474|   0.369|
|  -24.84|   10.90|     50976| 6.18|156.18568628|-73.97175863|   0.071|
|    6.89|  -87.25|     90930| 5.88|278.23053953|-73.96538378|   0.992|
|    0.06|   37.09|     26169| 5.79|083.68659342|-73.74136684|   1.717|
|  -54.84| -262.65|     89234| 5.86|273.14235762|-73.67177867|   0.464|
|  -81.59|   11.84|     11095| 5.99|035.71864225|-73.64582097|   1.088|
|  -22.29|    5.85|     24507| 6.49|078.85368002|-73.58848926|   0.150|
|   23.15|   -2.10|    114268| 6.18|347.14811916|-73.58611126|   1.419|
|  -12.76|  -20.73|     76750| 5.64|235.08899554|-73.44663458|  -0.040|
|  -31.12|   30.19|     41003| 5.28|125.51884143|-73.40005893|   0.014|
|    0.38|  -18.28|     76013| 5.40|232.87841929|-73.38954647|  -0.146|
|  -54.26|   72.09|     41907| 6.11|128.17448213|-73.35696538|   0.946|
|   -6.77|  -20.33|     39041| 6.33|119.81573907|-73.24412159|   0.128|
|   -7.45|    7.64|     51495| 4.94|157.75864399|-73.22150890|   1.677|
|   18.33|   34.31|     72833| 5.59|223.30640336|-73.19015457|   0.820|
|  461.31| -287.24|    104440| 5.67|317.33965419|-73.17226994|   0.590|
|   12.43|  -98.28|     32222| 6.36|100.90305337|-73.11796953|   0.960|
|  -25.16|    2.44|     46741| 5.46|142.90134667|-73.08091865|   1.556|
|   17.48|   62.26|     23737| 6.26|076.53858384|-73.03782413|   0.010|
|   40.72|   -5.29|     61181| 5.88|188.04122968|-73.00104307|   1.078|
|    2.07|   -4.11|     92394| 6.04|282.43198464|-72.99571254|   0.033|
|  -41.91|   -5.79|     55332| 6.46|169.96181267|-72.95827692|   0.004|
|   80.54| -131.34|     98495| 3.97|300.14747226|-72.91018443|  -0.032|
|  -14.43|  -15.72|     74421| 6.02|228.14169683|-72.77056092|  -0.002|
|  -32.18|  -16.33|     59851| 6.21|184.09947877|-72.61445993|  -0.006|
|   33.38|   15.29|     37504| 3.93|115.45498347|-72.60613528|   1.033|
|   -8.44|   -4.72|     44599| 4.47|136.28679299|-72.60269387|   0.607|
|   -6.36|    8.07|     43351| 6.10|132.45890766|-72.55125950|   0.185|
|   33.90|  -30.45|    104597| 6.18|317.83694548|-72.54427874|   1.087|
|    6.91|   14.67|     97534| 5.39|297.35538694|-72.50341408|   0.234|
|  -25.85|   -3.45|     55979| 6.09|172.07692869|-72.47396862|   0.101|
| -151.58|   53.25|     52535| 6.26|161.11356183|-72.44362716|   0.510|
|  -46.17|  270.71|     22717| 6.28|073.27389230|-72.40833805|   0.521|
|  -33.29|   71.48|     78868| 5.70|241.48284121|-72.40107181|   1.169|
|  -26.02|   -2.45|     55657| 5.55|171.04657107|-72.25660192|   0.017|
